date,cfolad,calo,czob
2022-02-12,10260.0,11230.0,2451.0
2022-02-13,10220.0,10680.0,2366.0
2022-02-14,10480.0,10590.0,2362.0
2022-02-16,10490.0,10480.0,2396.0
2022-02-19,10490.0,10370.0,2372.0
2022-02-20,10490.0,10260.0,2310.0
2022-02-21,10360.0,10270.0,2349.0
2022-02-22,10400.0,10260.0,2385.0
2022-02-23,10400.0,10410.0,2405.0
2022-02-26,10240.0,10400.0,2359.0
2022-02-27,10050.0,10450.0,2347.0
2022-02-28,10110.0,10860.0,2355.0
2022-03-02,10070.0,11060.0,2334.0
2022-03-05,10170.0,11120.0,2362.0
2022-03-06,10590.0,11070.0,2457.0
2022-03-07,10740.0,11370.0,2570.0
2022-03-08,10530.0,11390.0,2519.0
2022-03-09,10590.0,11310.0,2490.0
2022-03-12,10470.0,11140.0,2405.0
2022-03-13,10510.0,10980.0,2406.0
2022-03-14,10520.0,10890.0,2404.0
2022-03-15,10520.0,10470.0,2400.0
2022-03-16,10670.0,10540.0,2449.0
2022-03-19,10940.0,10700.0,2521.0
2022-03-26,11440.0,10850.0,2614.0
2022-03-27,11670.0,10950.0,2639.0
2022-03-28,11750.0,11390.0,2712.0
2022-03-29,11510.0,11540.0,2694.0
2022-03-30,11610.0,12100.0,2735.0
2022-04-03,12160.0,12660.0,2859.0
2022-04-04,12360.0,12210.0,2880.0
2022-04-05,12300.0,12170.0,2885.0
2022-04-06,12060.0,12090.0,2817.0
2022-04-09,11980.0,12570.0,2824.0
2022-04-10,12220.0,12830.0,2948.0
2022-04-11,12260.0,13000.0,2946.0
2022-04-12,11680.0,12750.0,2802.0
2022-04-13,11860.0,12870.0,2766.0
2022-04-16,11990.0,12680.0,2745.0
2022-04-17,11990.0,13100.0,2734.0
2022-04-18,,13670.0,2778.0
2022-04-19,,14280.0,2763.0
2022-04-20,12080.0,14130.0,2786.0
2022-04-24,11910.0,14210.0,2789.0
2022-04-25,12050.0,14310.0,2886.0
2022-04-26,12090.0,14860.0,2934.0
2022-04-27,12080.0,15280.0,2876.0
2022-04-30,11960.0,15610.0,2863.0
2022-05-01,11880.0,15950.0,2875.0
2022-05-02,11770.0,16120.0,2885.0
2022-05-07,11820.0,,
2022-05-08,12050.0,,
